topic,year,subtopic,question wording,answer 1 text,answer 1 value,answer 2 text,answer 2 value,Description,method
Public opinion of the Supreme Court as an institution,2024,Supreme Court approval," Fusce egestas, odio ornare mollis auctor?",Approve,54%,Disapprove,46%,"Sed sed ante augue. Etiam lacinia purus a pulvinar imperdiet. Fusce egestas, odio ornare mollis auctor, nisl lacus vehicula velit, ac cursus justo neque a risus. In lobortis justo vel feugiat pulvinar. Sed nec odio vitae massa finibus maximus non sit amet erat. Mauris ut massa nisl. Vestibulum sit amet convallis turpis. Etiam feugiat velit in pharetra pharetra. Nam semper ut lectus id iaculis. Pellentesque consectetur volutpat massa, nec elementum nisi molestie non. Fusce tincidunt hendrerit efficitur. Aliquam commodo ornare nunc in dignissim.","Sed sed ante augue. Etiam lacinia purus a pulvinar imperdiet. Fusce egestas, odio ornare mollis auctor, nisl lacus vehicula velit, ac cursus justo neque a risus. In lobortis justo vel feugiat pulvinar. Sed nec odio vitae massa finibus maximus non sit amet erat. Mauris ut massa nisl. Vestibulum sit amet convallis turpis. Etiam feugiat velit in pharetra pharetra. Nam semper ut lectus id iaculis. Pellentesque consectetur volutpat massa, nec elementum nisi molestie non. Fusce tincidunt hendrerit efficitur. Aliquam commodo ornare nunc in dignissim."
Public opinion of the Supreme Court as an institution,2023,Supreme Court approval," Fusce egestas, odio ornare mollis auctor?",Confident,2%,Not Confident,98%,"Sed sed ante augue. Etiam lacinia purus a pulvinar imperdiet. Fusce egestas, odio ornare mollis auctor, nisl lacus vehicula velit, ac cursus justo neque a risus. In lobortis justo vel feugiat pulvinar. Sed nec odio vitae massa finibus maximus non sit amet erat. Mauris ut massa nisl. Vestibulum sit amet convallis turpis. Etiam feugiat velit in pharetra pharetra. Nam semper ut lectus id iaculis. Pellentesque consectetur volutpat massa, nec elementum nisi molestie non. Fusce tincidunt hendrerit efficitur. Aliquam commodo ornare nunc in dignissim.","Sed sed ante augue. Etiam lacinia purus a pulvinar imperdiet. Fusce egestas, odio ornare mollis auctor, nisl lacus vehicula velit, ac cursus justo neque a risus. In lobortis justo vel feugiat pulvinar. Sed nec odio vitae massa finibus maximus non sit amet erat. Mauris ut massa nisl. Vestibulum sit amet convallis turpis. Etiam feugiat velit in pharetra pharetra. Nam semper ut lectus id iaculis. Pellentesque consectetur volutpat massa, nec elementum nisi molestie non. Fusce tincidunt hendrerit efficitur. Aliquam commodo ornare nunc in dignissim."
Public opinion of the Supreme Court as an institution,2023,Supreme Court favorability," Fusce egestas, odio ornare mollis auctor?",Approve,4%,Disapprove,96%,"Sed sed ante augue. Etiam lacinia purus a pulvinar imperdiet. Fusce egestas, odio ornare mollis auctor, nisl lacus vehicula velit, ac cursus justo neque a risus. In lobortis justo vel feugiat pulvinar. Sed nec odio vitae massa finibus maximus non sit amet erat. Mauris ut massa nisl. Vestibulum sit amet convallis turpis. Etiam feugiat velit in pharetra pharetra. Nam semper ut lectus id iaculis. Pellentesque consectetur volutpat massa, nec elementum nisi molestie non. Fusce tincidunt hendrerit efficitur. Aliquam commodo ornare nunc in dignissim.","Sed sed ante augue. Etiam lacinia purus a pulvinar imperdiet. Fusce egestas, odio ornare mollis auctor, nisl lacus vehicula velit, ac cursus justo neque a risus. In lobortis justo vel feugiat pulvinar. Sed nec odio vitae massa finibus maximus non sit amet erat. Mauris ut massa nisl. Vestibulum sit amet convallis turpis. Etiam feugiat velit in pharetra pharetra. Nam semper ut lectus id iaculis. Pellentesque consectetur volutpat massa, nec elementum nisi molestie non. Fusce tincidunt hendrerit efficitur. Aliquam commodo ornare nunc in dignissim."
Public opinion of the Supreme Court as an institution,2022,Supreme Court approval," Fusce egestas, odio ornare mollis auctor?",Confident,0%,Not Confident,100%,"Sed sed ante augue. Etiam lacinia purus a pulvinar imperdiet. Fusce egestas, odio ornare mollis auctor, nisl lacus vehicula velit, ac cursus justo neque a risus. In lobortis justo vel feugiat pulvinar. Sed nec odio vitae massa finibus maximus non sit amet erat. Mauris ut massa nisl. Vestibulum sit amet convallis turpis. Etiam feugiat velit in pharetra pharetra. Nam semper ut lectus id iaculis. Pellentesque consectetur volutpat massa, nec elementum nisi molestie non. Fusce tincidunt hendrerit efficitur. Aliquam commodo ornare nunc in dignissim.","Sed sed ante augue. Etiam lacinia purus a pulvinar imperdiet. Fusce egestas, odio ornare mollis auctor, nisl lacus vehicula velit, ac cursus justo neque a risus. In lobortis justo vel feugiat pulvinar. Sed nec odio vitae massa finibus maximus non sit amet erat. Mauris ut massa nisl. Vestibulum sit amet convallis turpis. Etiam feugiat velit in pharetra pharetra. Nam semper ut lectus id iaculis. Pellentesque consectetur volutpat massa, nec elementum nisi molestie non. Fusce tincidunt hendrerit efficitur. Aliquam commodo ornare nunc in dignissim."
Public opinion of the Supreme Court as an institution,2022,Supreme Court favorability," Fusce egestas, odio ornare mollis auctor?",Approve,78%,Disapprove,22%,"Sed sed ante augue. Etiam lacinia purus a pulvinar imperdiet. Fusce egestas, odio ornare mollis auctor, nisl lacus vehicula velit, ac cursus justo neque a risus. In lobortis justo vel feugiat pulvinar. Sed nec odio vitae massa finibus maximus non sit amet erat. Mauris ut massa nisl. Vestibulum sit amet convallis turpis. Etiam feugiat velit in pharetra pharetra. Nam semper ut lectus id iaculis. Pellentesque consectetur volutpat massa, nec elementum nisi molestie non. Fusce tincidunt hendrerit efficitur. Aliquam commodo ornare nunc in dignissim.","Sed sed ante augue. Etiam lacinia purus a pulvinar imperdiet. Fusce egestas, odio ornare mollis auctor, nisl lacus vehicula velit, ac cursus justo neque a risus. In lobortis justo vel feugiat pulvinar. Sed nec odio vitae massa finibus maximus non sit amet erat. Mauris ut massa nisl. Vestibulum sit amet convallis turpis. Etiam feugiat velit in pharetra pharetra. Nam semper ut lectus id iaculis. Pellentesque consectetur volutpat massa, nec elementum nisi molestie non. Fusce tincidunt hendrerit efficitur. Aliquam commodo ornare nunc in dignissim."
Public opinion of the Supreme Court as an institution,2022,Supreme Court confidence ," Fusce egestas, odio ornare mollis auctor?",Confident,87%,Not Confident,13%,"Sed sed ante augue. Etiam lacinia purus a pulvinar imperdiet. Fusce egestas, odio ornare mollis auctor, nisl lacus vehicula velit, ac cursus justo neque a risus. In lobortis justo vel feugiat pulvinar. Sed nec odio vitae massa finibus maximus non sit amet erat. Mauris ut massa nisl. Vestibulum sit amet convallis turpis. Etiam feugiat velit in pharetra pharetra. Nam semper ut lectus id iaculis. Pellentesque consectetur volutpat massa, nec elementum nisi molestie non. Fusce tincidunt hendrerit efficitur. Aliquam commodo ornare nunc in dignissim.","Sed sed ante augue. Etiam lacinia purus a pulvinar imperdiet. Fusce egestas, odio ornare mollis auctor, nisl lacus vehicula velit, ac cursus justo neque a risus. In lobortis justo vel feugiat pulvinar. Sed nec odio vitae massa finibus maximus non sit amet erat. Mauris ut massa nisl. Vestibulum sit amet convallis turpis. Etiam feugiat velit in pharetra pharetra. Nam semper ut lectus id iaculis. Pellentesque consectetur volutpat massa, nec elementum nisi molestie non. Fusce tincidunt hendrerit efficitur. Aliquam commodo ornare nunc in dignissim."
Public opinion of the Supreme Court as an institution,2021,Supreme Court approval," Fusce egestas, odio ornare mollis auctor?",Approve,30%,Disapprove,70%,"Sed sed ante augue. Etiam lacinia purus a pulvinar imperdiet. Fusce egestas, odio ornare mollis auctor, nisl lacus vehicula velit, ac cursus justo neque a risus. In lobortis justo vel feugiat pulvinar. Sed nec odio vitae massa finibus maximus non sit amet erat. Mauris ut massa nisl. Vestibulum sit amet convallis turpis. Etiam feugiat velit in pharetra pharetra. Nam semper ut lectus id iaculis. Pellentesque consectetur volutpat massa, nec elementum nisi molestie non. Fusce tincidunt hendrerit efficitur. Aliquam commodo ornare nunc in dignissim.","Sed sed ante augue. Etiam lacinia purus a pulvinar imperdiet. Fusce egestas, odio ornare mollis auctor, nisl lacus vehicula velit, ac cursus justo neque a risus. In lobortis justo vel feugiat pulvinar. Sed nec odio vitae massa finibus maximus non sit amet erat. Mauris ut massa nisl. Vestibulum sit amet convallis turpis. Etiam feugiat velit in pharetra pharetra. Nam semper ut lectus id iaculis. Pellentesque consectetur volutpat massa, nec elementum nisi molestie non. Fusce tincidunt hendrerit efficitur. Aliquam commodo ornare nunc in dignissim."
Public opinion of the Supreme Court as an institution,2021,Supreme Court approval," Fusce egestas, odio ornare mollis auctor?",Confident,55%,Not Confident,45%,"Sed sed ante augue. Etiam lacinia purus a pulvinar imperdiet. Fusce egestas, odio ornare mollis auctor, nisl lacus vehicula velit, ac cursus justo neque a risus. In lobortis justo vel feugiat pulvinar. Sed nec odio vitae massa finibus maximus non sit amet erat. Mauris ut massa nisl. Vestibulum sit amet convallis turpis. Etiam feugiat velit in pharetra pharetra. Nam semper ut lectus id iaculis. Pellentesque consectetur volutpat massa, nec elementum nisi molestie non. Fusce tincidunt hendrerit efficitur. Aliquam commodo ornare nunc in dignissim.","Sed sed ante augue. Etiam lacinia purus a pulvinar imperdiet. Fusce egestas, odio ornare mollis auctor, nisl lacus vehicula velit, ac cursus justo neque a risus. In lobortis justo vel feugiat pulvinar. Sed nec odio vitae massa finibus maximus non sit amet erat. Mauris ut massa nisl. Vestibulum sit amet convallis turpis. Etiam feugiat velit in pharetra pharetra. Nam semper ut lectus id iaculis. Pellentesque consectetur volutpat massa, nec elementum nisi molestie non. Fusce tincidunt hendrerit efficitur. Aliquam commodo ornare nunc in dignissim."
Public opinion of the Supreme Court as an institution,2021,Supreme Court confidence ," Fusce egestas, odio ornare mollis auctor?",Approve,91%,Disapprove,9%,"Sed sed ante augue. Etiam lacinia purus a pulvinar imperdiet. Fusce egestas, odio ornare mollis auctor, nisl lacus vehicula velit, ac cursus justo neque a risus. In lobortis justo vel feugiat pulvinar. Sed nec odio vitae massa finibus maximus non sit amet erat. Mauris ut massa nisl. Vestibulum sit amet convallis turpis. Etiam feugiat velit in pharetra pharetra. Nam semper ut lectus id iaculis. Pellentesque consectetur volutpat massa, nec elementum nisi molestie non. Fusce tincidunt hendrerit efficitur. Aliquam commodo ornare nunc in dignissim.","Sed sed ante augue. Etiam lacinia purus a pulvinar imperdiet. Fusce egestas, odio ornare mollis auctor, nisl lacus vehicula velit, ac cursus justo neque a risus. In lobortis justo vel feugiat pulvinar. Sed nec odio vitae massa finibus maximus non sit amet erat. Mauris ut massa nisl. Vestibulum sit amet convallis turpis. Etiam feugiat velit in pharetra pharetra. Nam semper ut lectus id iaculis. Pellentesque consectetur volutpat massa, nec elementum nisi molestie non. Fusce tincidunt hendrerit efficitur. Aliquam commodo ornare nunc in dignissim."
Public opinion of the Supreme Court as an institution,2021,Supreme Court confidence ," Fusce egestas, odio ornare mollis auctor?",Confident,92%,Not Confident,8%,"Sed sed ante augue. Etiam lacinia purus a pulvinar imperdiet. Fusce egestas, odio ornare mollis auctor, nisl lacus vehicula velit, ac cursus justo neque a risus. In lobortis justo vel feugiat pulvinar. Sed nec odio vitae massa finibus maximus non sit amet erat. Mauris ut massa nisl. Vestibulum sit amet convallis turpis. Etiam feugiat velit in pharetra pharetra. Nam semper ut lectus id iaculis. Pellentesque consectetur volutpat massa, nec elementum nisi molestie non. Fusce tincidunt hendrerit efficitur. Aliquam commodo ornare nunc in dignissim.","Sed sed ante augue. Etiam lacinia purus a pulvinar imperdiet. Fusce egestas, odio ornare mollis auctor, nisl lacus vehicula velit, ac cursus justo neque a risus. In lobortis justo vel feugiat pulvinar. Sed nec odio vitae massa finibus maximus non sit amet erat. Mauris ut massa nisl. Vestibulum sit amet convallis turpis. Etiam feugiat velit in pharetra pharetra. Nam semper ut lectus id iaculis. Pellentesque consectetur volutpat massa, nec elementum nisi molestie non. Fusce tincidunt hendrerit efficitur. Aliquam commodo ornare nunc in dignissim."
Public opinion of the Supreme Court as an institution,2020,Supreme Court favorability," Fusce egestas, odio ornare mollis auctor?",Approve,27%,Disapprove,73%,"Sed sed ante augue. Etiam lacinia purus a pulvinar imperdiet. Fusce egestas, odio ornare mollis auctor, nisl lacus vehicula velit, ac cursus justo neque a risus. In lobortis justo vel feugiat pulvinar. Sed nec odio vitae massa finibus maximus non sit amet erat. Mauris ut massa nisl. Vestibulum sit amet convallis turpis. Etiam feugiat velit in pharetra pharetra. Nam semper ut lectus id iaculis. Pellentesque consectetur volutpat massa, nec elementum nisi molestie non. Fusce tincidunt hendrerit efficitur. Aliquam commodo ornare nunc in dignissim.","Sed sed ante augue. Etiam lacinia purus a pulvinar imperdiet. Fusce egestas, odio ornare mollis auctor, nisl lacus vehicula velit, ac cursus justo neque a risus. In lobortis justo vel feugiat pulvinar. Sed nec odio vitae massa finibus maximus non sit amet erat. Mauris ut massa nisl. Vestibulum sit amet convallis turpis. Etiam feugiat velit in pharetra pharetra. Nam semper ut lectus id iaculis. Pellentesque consectetur volutpat massa, nec elementum nisi molestie non. Fusce tincidunt hendrerit efficitur. Aliquam commodo ornare nunc in dignissim."
Public opinion of the Supreme Court as an institution,2020,Supreme Court approval," Fusce egestas, odio ornare mollis auctor?",Confident,82%,Not Confident,18%,"Sed sed ante augue. Etiam lacinia purus a pulvinar imperdiet. Fusce egestas, odio ornare mollis auctor, nisl lacus vehicula velit, ac cursus justo neque a risus. In lobortis justo vel feugiat pulvinar. Sed nec odio vitae massa finibus maximus non sit amet erat. Mauris ut massa nisl. Vestibulum sit amet convallis turpis. Etiam feugiat velit in pharetra pharetra. Nam semper ut lectus id iaculis. Pellentesque consectetur volutpat massa, nec elementum nisi molestie non. Fusce tincidunt hendrerit efficitur. Aliquam commodo ornare nunc in dignissim.","Sed sed ante augue. Etiam lacinia purus a pulvinar imperdiet. Fusce egestas, odio ornare mollis auctor, nisl lacus vehicula velit, ac cursus justo neque a risus. In lobortis justo vel feugiat pulvinar. Sed nec odio vitae massa finibus maximus non sit amet erat. Mauris ut massa nisl. Vestibulum sit amet convallis turpis. Etiam feugiat velit in pharetra pharetra. Nam semper ut lectus id iaculis. Pellentesque consectetur volutpat massa, nec elementum nisi molestie non. Fusce tincidunt hendrerit efficitur. Aliquam commodo ornare nunc in dignissim."
Public opinion on life tenure,2025,Support for term limits," Fusce egestas, odio ornare mollis auctor?",Approve,39%,Disapprove,61%,"Sed sed ante augue. Etiam lacinia purus a pulvinar imperdiet. Fusce egestas, odio ornare mollis auctor, nisl lacus vehicula velit, ac cursus justo neque a risus. In lobortis justo vel feugiat pulvinar. Sed nec odio vitae massa finibus maximus non sit amet erat. Mauris ut massa nisl. Vestibulum sit amet convallis turpis. Etiam feugiat velit in pharetra pharetra. Nam semper ut lectus id iaculis. Pellentesque consectetur volutpat massa, nec elementum nisi molestie non. Fusce tincidunt hendrerit efficitur. Aliquam commodo ornare nunc in dignissim.","Sed sed ante augue. Etiam lacinia purus a pulvinar imperdiet. Fusce egestas, odio ornare mollis auctor, nisl lacus vehicula velit, ac cursus justo neque a risus. In lobortis justo vel feugiat pulvinar. Sed nec odio vitae massa finibus maximus non sit amet erat. Mauris ut massa nisl. Vestibulum sit amet convallis turpis. Etiam feugiat velit in pharetra pharetra. Nam semper ut lectus id iaculis. Pellentesque consectetur volutpat massa, nec elementum nisi molestie non. Fusce tincidunt hendrerit efficitur. Aliquam commodo ornare nunc in dignissim."
